L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.1332179,0.5213536,0.02093228,-0.04801716,0.06262354,-0.03467036,-1.26197,1.515573,-0.9424467,-0.02777481
L,-0.1337459,0.5220659,0.02035533,-0.01901192,0.0256468,-0.02077237,1.0443,-1.331305,0.5003811,0
L,-0.1336918,0.5223885,0.02015076,0.003580319,0.02131255,-0.01351826,1.492921,-0.2864127,0.47936,0.0151329
L,-0.1336493,0.5225484,0.02005196,0.001600922,0.006028455,-0.003724461,-0.07461706,-0.5761624,0.3691956,0.04166031
L,-0.1339555,0.521934,0.0201213,-0.02038751,-0.04090599,0.004617402,-1.464093,-3.125116,0.5554405,0.05667877
L,-0.1342399,0.5216382,0.02026787,-0.01919827,-0.01997489,0.009895146,0.08028649,1.413073,0.3563041,0.07149124
L,-0.1345679,0.5212922,0.02045316,-0.01287349,-0.01357394,0.007270209,0.2481667,0.2511556,-0.1029953,0.09697723
L,-0.1342975,0.5222659,0.02104828,0.009539324,0.03434935,0.02099412,0.7906588,1.690594,0.4841396,0.1253242
L,-0.134618,0.523616,0.02212345,-0.01147231,0.04833018,0.03848814,-0.7521608,0.5004766,0.6262394,0.1532593
L,-0.1460971,0.530755,0.02790805,-0.4166097,0.2590964,0.2099403,-14.70363,7.649328,6.222504,0.1808128
L,-0.1490146,0.537227,0.03105249,-0.2049844,0.454729,0.2209315,14.86902,13.74535,0.7722565,0.1950455
L,-0.1478504,0.5409307,0.03191417,0.08356295,0.2658518,0.06185208,20.7122,-13.55778,-11.41887,0.2089767
L,-0.1474255,0.5404866,0.0316317,0.02962309,-0.03096326,-0.01969358,-3.760641,-20.69369,-5.685294,0.22332
L,-0.1487711,0.5448539,0.03407212,-0.09671691,0.3139181,0.1754163,-9.081238,24.78985,14.02437,0.2372322
L,-0.1505087,0.550024,0.03696693,-0.1220905,0.3632572,0.203392,-1.782773,3.466614,1.965603,0.2514648
L,-0.1507156,0.5515468,0.04238638,-0.007826594,0.05761338,0.2050336,4.322931,-11.56338,0.0621065,0.2778969
L,-0.1458782,0.5570412,0.06468741,0.3137312,0.3563366,1.446334,20.85464,19.3737,80.50454,0.2933159
L,-0.1409861,0.5613014,0.08665318,0.1866184,0.1625118,0.8379213,-4.848934,-7.393772,-23.20891,0.3195305
L,-0.1409861,0.5613014,0.08665318,0,0,0,-12.97292,-11.29714,-58.24875,0.3339157
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.3480492
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.3621941
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.3765869
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.402401
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.4170914
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.4310112
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.4454155
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.4721222
L,-0.1409861,0.5613014,0.08665318,0,0,0,0,0,0,0.4870033
L,-0.2017175,0.9580362,0.01809798,-4.252238,27.77822,-4.800036,-297.7293,1944.95,-336.0846,0.5012856
L,-0.2017175,0.9580362,0.01809801,0,2.257622E-06,1.128811E-06,161.0603,-1052.145,181.8091,0.5276871
L,-0.2160477,1.014047,0.0424422,-1.004704,3.926982,1.706789,-70.44056,275.3234,119.6641,0.5419502
L,-0.2211919,1.043555,0.05317556,-0.3586447,2.057231,0.7483203,45.04274,-130.3575,-66.82361,0.5562935
L,-0.2273419,1.066762,0.05592971,-0.4474581,1.688471,0.200384,-6.461809,-26.82987,-39.86629,0.5700378
L,-0.2323537,1.086123,0.05881584,-0.341608,1.319642,0.1967192,7.21476,-25.13946,-0.2497908,0.5847092
L,-0.2366692,1.10303,0.06187839,-0.3034511,1.188908,0.2153517,2.683099,-9.192899,1.310191,0.5989304
L,-0.2381296,1.121502,0.06657258,-0.05621903,0.7110591,0.1806978,9.516946,-18.39431,-1.333967,0.6249084
L,-0.2260419,1.138079,0.0735447,0.7933717,1.087983,0.4576112,55.76242,24.73923,18.17506,0.6401443
L,-0.2220629,1.149497,0.07758498,0.2762348,0.7926874,0.2804917,-35.90157,-20.50056,-12.2963,0.6545486
L,-0.2220747,1.165187,0.07613072,-0.0004523509,0.6028978,-0.05588194,-10.63205,-7.292903,-12.92558,0.6805725
L,-0.2219958,1.191299,0.07277779,0.005320859,1.760577,-0.2260677,0.3892522,78.05524,-11.47458,0.6954041
L,-0.2218838,1.207314,0.07074502,0.007852211,1.123178,-0.1425567,0.1775224,-44.70052,5.856583,0.7096634
L,-0.2218632,1.220564,0.06994005,0.00144916,0.9296708,-0.05648274,-0.449283,-13.5778,6.039553,0.7239151
L,-0.220098,1.232647,0.07250308,0.1280018,0.8761929,0.1858597,9.177046,-3.877978,17.57361,0.7377052
L,-0.2188314,1.244841,0.07473925,0.04918195,0.4735086,0.08683147,-3.060606,-15.63639,-3.845305,0.7634583
L,-0.2174035,1.262781,0.08520212,0.09622429,1.208965,0.7050847,3.170146,49.56184,41.66359,0.7782974
L,-0.2167892,1.275002,0.08998956,0.04389288,0.8731688,0.3420545,-3.738993,-23.99211,-25.93791,0.7922935
L,-0.2146937,1.283178,0.08981062,0.1489927,0.5813246,-0.01272259,7.472546,-20.74999,-25.22449,0.8063583
L,-0.2130652,1.292253,0.090335,0.1125152,0.6270015,0.03623217,-2.520384,3.156019,3.382498,0.8208313
L,-0.2080537,1.298164,0.08873129,0.3566086,0.4206026,-0.1141163,17.36906,-14.68682,-10.69841,0.8348846
L,-0.2041738,1.305413,0.08811406,0.2739267,0.5117913,-0.04357736,-5.83748,6.438076,4.980164,0.8490486
L,-0.2010468,1.313568,0.08812337,0.1197567,0.3123128,0.00035667,-5.904273,-7.63946,1.682548,0.8751602
L,-0.2001784,1.325529,0.09055697,0.05677947,0.7821698,0.1591302,-4.118008,30.72342,10.38202,0.8904533
L,-0.1985863,1.331507,0.09143665,0.06107045,0.2292856,0.03374356,0.1645968,-21.20797,-4.809682,0.916523
